City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
486,hambantota,6.1241,81.1185,79.23,75,100,10.83,LK,1687801297
487,brewster,41.3973,-73.6171,77.97,92,100,6.91,US,1687801197
488,anchorage,61.2181,-149.9003,55.94,79,100,5.75,US,1687801152
489,cabusao,13.7227,123.1169,77.65,90,63,1.99,PH,1687801298
490,saint-michel-des-saints,46.6834,-73.9159,64.94,89,96,13.53,CA,1687801276
491,am timan,11.0297,20.2827,75.38,83,92,9.24,TD,1687801298
492,ossora,59.2353,163.0719,59.72,72,37,2.3,RU,1687801298
493,nioro,13.35,-15.75,94.73,40,100,11.61,GM,1687801299
494,kharp,66.8014,65.8081,51.76,92,83,4.83,RU,1687801299
495,uvinza,-5.1036,30.3911,68.13,73,45,3.74,TZ,1687801301
496,koungheul,13.9833,-14.8,98.73,33,100,6.06,SN,1687801301
497,husavik,66.0449,-17.3389,53.64,67,100,11.77,IS,1687801301
498,batemans bay,-35.7167,150.1833,51.1,69,88,5.68,AU,1687801301
499,khomeyn,33.6423,50.0789,77.65,26,2,3.0,IR,1687801302
500,hirara,24.8,125.2833,80.46,94,40,8.05,JP,1687801302
501,baykit,61.67,96.37,52.0,98,100,4.61,RU,1687801302
502,marsh harbour,26.5412,-77.0636,81.91,78,94,9.48,BS,1687801302
503,chuy,-33.6971,-53.4616,67.21,93,100,4.54,UY,1687801303
504,general roca,-39.0333,-67.5833,58.66,36,56,23.76,AR,1687801303
505,half moon bay,37.4636,-122.4286,71.58,77,100,12.66,US,1687801303
506,kampene,-3.6,26.6667,74.37,72,84,2.13,CD,1687801303
507,vega de alatorre,20.0333,-96.6333,87.06,57,87,4.34,MX,1687801303
508,providencia,28.7167,-111.5833,102.2,40,50,18.43,MX,1687801304
509,high level,58.5169,-117.136,69.91,73,20,3.44,CA,1687801304
510,wageningen,51.9667,5.6667,71.11,53,40,12.66,NL,1687801304
511,davila,18.4726,120.5763,83.48,76,96,3.8,PH,1687801304
512,calbuco,-41.768,-73.1273,51.01,80,94,11.52,CL,1687801305
513,lagoa,39.05,-27.9833,68.14,80,9,6.6,PT,1687801305
514,tacoronte,28.4769,-16.4102,78.26,75,20,8.05,ES,1687801305
515,padang,-0.9492,100.3543,74.08,90,100,2.77,ID,1687801305
516,lebyazhye,55.2689,66.4947,53.1,93,100,24.4,RU,1687801305
517,morris,40.8334,-74.5329,77.88,88,100,12.66,US,1687801126
518,glendive,47.1053,-104.7125,80.69,50,0,6.91,US,1687801306
519,nhamunda,-2.1861,-56.7131,86.5,59,53,2.1,BR,1687801306
520,makasar,-5.14,119.4221,77.05,100,20,2.3,ID,1687801259
521,salinopolis,-0.6136,-47.3561,82.89,74,16,11.83,BR,1687801306
522,nuuk,64.1835,-51.7216,54.21,43,20,8.05,GL,1687801307
523,butajira,8.1167,38.3667,61.57,83,80,3.18,ET,1687801307
524,sao felix do xingu,-6.6447,-51.995,93.13,33,87,4.18,BR,1687801307
525,jaragua,-15.7569,-49.3344,86.16,23,1,5.26,BR,1687801307
526,kamenka,51.3223,42.7678,59.32,82,100,5.44,RU,1687801308
527,freeport,40.6576,-73.5832,81.3,77,40,12.66,US,1687801308
528,pimenta bueno,-11.6725,-61.1936,92.35,36,0,1.05,BR,1687801145
529,coahuayana,18.7333,-103.6833,92.73,55,92,7.23,MX,1687801308
530,matara,5.9485,80.5353,77.36,90,76,7.34,LK,1687801308
531,tabou,4.423,-7.3528,77.11,76,93,11.5,CI,1687801309
532,carutapera,-1.195,-46.02,83.08,69,3,14.61,BR,1687801309
533,atar,20.5169,-13.0499,108.41,8,16,10.09,MR,1687801309
534,shira,54.4911,89.9531,47.79,84,31,3.89,RU,1687801309
535,bikin,46.8161,134.26,64.42,90,98,6.71,RU,1687801309
536,beckley,37.7782,-81.1882,80.49,61,20,10.36,US,1687801310
